Date : 2024-11-10 17:54:05
Directory : /home/galeano/dotfiles
Total : 385 files,  8754 codes, 10510 comments, 2905 blanks, all 22169 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Shell Script |        317 |      5,602 |      9,853 |      1,622 |     17,077 |
| Markdown     |         30 |      1,928 |          0 |        907 |      2,835 |
| Ruby         |         28 |        885 |          1 |        192 |      1,078 |
| YAML         |          3 |        108 |          2 |         13 |        123 |
| Properties   |          1 |         85 |        646 |        134 |        865 |
| Makefile     |          2 |         82 |          2 |         17 |        101 |
| TOML         |          2 |         46 |          6 |         15 |         67 |
| Docker       |          1 |         16 |          0 |          5 |         21 |
| Ini          |          1 |          2 |          0 |          0 |          2 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                 |        385 |      8,754 |     10,510 |      2,905 |     22,169 |
| . (Files)                                                                                                                                                         |          1 |         90 |          0 |         28 |        118 |
| alacritty                                                                                                                                                         |          2 |         46 |          6 |         15 |         67 |
| alacritty/.config                                                                                                                                                 |          2 |         46 |          6 |         15 |         67 |
| alacritty/.config/alacritty                                                                                                                                       |          2 |         46 |          6 |         15 |         67 |
| alacritty/.config/alacritty (Files)                                                                                                                               |          1 |         25 |          2 |         11 |         38 |
| alacritty/.config/alacritty/custom_themes                                                                                                                         |          1 |         21 |          4 |          4 |         29 |
| gtk-3.0                                                                                                                                                           |          1 |          2 |          0 |          0 |          2 |
| gtk-3.0/.config                                                                                                                                                   |          1 |          2 |          0 |          0 |          2 |
| gtk-3.0/.config/gtk-3.0                                                                                                                                           |          1 |          2 |          0 |          0 |          2 |
| neofetch                                                                                                                                                          |          1 |         85 |        646 |        134 |        865 |
| neofetch/.config                                                                                                                                                  |          1 |         85 |        646 |        134 |        865 |
| neofetch/.config/neofetch                                                                                                                                         |          1 |         85 |        646 |        134 |        865 |
| oh-my-zsh                                                                                                                                                         |        379 |      8,526 |      9,852 |      2,725 |     21,103 |
| oh-my-zsh/.oh-my-zsh                                                                                                                                              |        379 |      8,526 |      9,852 |      2,725 |     21,103 |
| oh-my-zsh/.oh-my-zsh/custom                                                                                                                                       |        379 |      8,526 |      9,852 |      2,725 |     21,103 |
| oh-my-zsh/.oh-my-zsh/custom/plugins                                                                                                                               |        379 |      8,526 |      9,852 |      2,725 |     21,103 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions                                                                                                           |         51 |      2,161 |        504 |        710 |      3,375 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions (Files)                                                                                                   |         10 |        781 |        266 |        333 |      1,380 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/.circleci                                                                                                 |          1 |         15 |          0 |          1 |         16 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/.github                                                                                                   |          2 |         42 |          0 |         16 |         58 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/.github/ISSUE_TEMPLATE                                                                                    |          2 |         42 |          0 |         16 |         58 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec                                                                                                      |         27 |        881 |          1 |        190 |      1,072 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec (Files)                                                                                              |          6 |        218 |          0 |         59 |        277 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations                                                                                         |          8 |        210 |          1 |         36 |        247 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/options                                                                                              |          5 |        184 |          0 |         41 |        225 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/strategies                                                                                           |          4 |        174 |          0 |         34 |        208 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/widgets                                                                                              |          4 |         95 |          0 |         20 |        115 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src                                                                                                       |         11 |        442 |        237 |        170 |        849 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src (Files)                                                                                               |          8 |        348 |        141 |        122 |        611 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/strategies                                                                                            |          3 |         94 |         96 |         48 |        238 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-bat                                                                                                                       |          2 |         22 |          5 |         14 |         41 |
| oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting                                                                                                       |        326 |      6,343 |      9,343 |      2,001 |     17,687 |
